symbol,entry_date,exit_date,entry_px,exit_px,shares,bars_held,ret_net,pnl_usd,exit_reason
ROH-200904,2007-09-14,2007-11-12,51.8137,46.63233,298.19261,41,-0.10125911861696824,-1565.5953561365186,stop
SNDK-201605,2007-10-12,2007-10-19,45.86933,41.282397,354.022475,5,-0.10125911861696824,-1645.4749436995044,stop
IBM,2007-10-19,2007-11-09,58.500973,52.650876,269.85438,15,-0.10125911861696812,-1599.6707497595999,stop
K-202512,2007-10-19,2008-01-22,28.027044,24.800488,563.268242,63,-0.11636091182941011,-1838.2457758986602,stop_gap
RTX,2007-10-19,2008-01-17,28.91915,26.027235,545.892386,61,-0.10125911861696812,-1599.6707497595999,stop
RVTY,2007-11-02,2007-12-13,23.973564,21.576208,651.276162,28,-0.10125911861696801,-1582.1069104571561,stop
UPS,2007-11-02,2008-01-09,39.09983,35.189847,399.321704,45,-0.1012591186169679,-1582.1069104571543,stop
BCR-201712,2008-05-16,2008-10-09,85.62991,77.066919,167.56411,101,-0.10125911861696801,-1453.9334669291711,stop
AZO,2009-05-29,2009-10-27,152.15,136.935,93.349368,105,-0.10125911861696812,-1439.2007591087804,stop
BBY,2009-05-29,2009-07-06,19.953037,17.957733,711.82679,25,-0.10125911861696812,-1439.2007591087804,stop
BIGGQ,2009-05-29,2009-06-18,17.315052,15.583547,820.275115,14,-0.10125911861696801,-1439.2007591087786,stop
HD,2009-05-29,2009-08-04,15.192302,17.471147,934.888358,46,0.14839112621165174,2109.0902666915827,target
JWN-202505,2009-05-29,2009-06-01,12.247094,14.084158,1159.712359,1,0.14839112621165174,2109.0902666915827,target
ANDV-201809,2009-06-12,2009-06-22,12.905551,11.614996,1134.004296,6,-0.10125911861696824,-1482.959511883968,stop
BIGGQ,2009-06-19,2009-07-23,15.230622,17.515215,934.213729,23,0.14839112621165174,2112.8842990126122,target
CPWR-201412,2009-06-19,2009-07-08,6.358887,5.722998,2237.601671,12,-0.1012591186169679,-1441.7897304215476,stop
FDO-201507,2009-06-19,2009-09-28,26.749895,24.074905,531.914468,69,-0.10125911861696801,-1441.7897304215494,stop
MA,2009-06-19,2009-07-20,14.764612,16.979304,963.699972,20,0.14839112621165174,2112.8842990126122,target
NVLS-201206,2009-06-19,2009-07-14,16.63,19.1245,854.695219,16,0.14839112621165174,2110.6457838463903,target
SEE-202604,2009-06-19,2009-07-16,12.997603,14.947243,1094.713862,18,0.14839112621165196,2112.884299012614,target
QLGC-201608,2009-06-26,2009-08-11,12.55,14.4325,1048.050049,31,0.14839112621165174,1953.158909750804,target
DNB-201902,2009-07-10,2009-07-31,66.51449,59.863041,212.126788,15,-0.1012591186169679,-1429.7161522424267,stop
QCOM,2009-07-10,2010-01-08,28.524282,32.802924,401.176869,126,0.14839112621165196,1699.2701818599598,target
EXPD,2009-07-17,2009-09-11,25.031185,28.785863,599.734696,39,0.14839112621165174,2229.2173546563554,target
ATI,2009-07-24,2009-09-10,24.373371,28.029377,628.715352,33,0.14839112621165196,2275.524389397189,target
TSN,2009-07-24,2010-01-14,8.556643,9.84014,1790.878926,120,0.14839112621165196,2275.524389397189,target
MKC,2009-08-07,2009-11-16,11.146461,12.818431,1361.268483,70,0.14839112621165151,2253.1631538538695,target
STJ-201701,2009-08-07,2009-10-06,33.416523,29.256235,454.066593,41,-0.12572277726038217,-1908.9681206356927,stop_gap
HSH-201408,2009-08-14,2009-09-23,11.551309,13.284005,1297.037833,27,0.14839112621165174,2224.8240801685915,target
ORLY,2009-08-14,2010-03-22,2.468012,2.838214,6070.66861,150,0.14839112621165174,2224.8240801685915,target
SO,2009-09-11,2010-04-26,14.960737,17.204848,1047.706369,155,0.14839112621165196,2327.578855228012,target
SRE,2009-09-11,2009-12-14,14.374436,16.530601,1090.439962,65,0.14839112621165174,2327.57885522801,target
HRL,2009-09-25,2010-02-18,6.119247,7.037135,2577.966371,99,0.14839112621165174,2342.5404045101513,target
MO,2009-10-02,2009-12-23,6.227994,7.162193,2494.174707,57,0.14839112621165196,2306.677540403265,target
PGN-201207,2009-10-09,2010-07-15,32.548725,37.431034,475.060694,191,0.14839112621165196,2296.121738912674,target
JNJ,2009-10-30,2011-04-20,36.208805,41.640126,429.822783,370,0.14839112621165174,2311.082531308557,target
HSY,2009-11-20,2010-03-12,24.860497,28.589572,650.749492,75,0.14839112621165174,2402.3455452147773,target
PEP,2009-12-18,2010-09-17,35.91108,41.297742,456.067735,187,0.14839112621165151,2432.0340191024407,target
SIAL-201511,2009-12-24,2010-04-22,48.235733,55.471093,345.518993,80,0.14839112621165174,2474.8714084031417,target
KO,2010-01-08,2010-11-01,16.635159,19.130433,1003.754805,205,0.14839112621165174,2479.5131976394186,target
KMB,2010-01-15,2011-05-11,33.28092,38.273058,507.014082,332,0.14839112621165174,2505.689054957089,target
ELV,2010-02-19,2010-05-04,46.245804,41.621224,366.534819,51,-0.10125911861696812,-1717.6141658642555,stop
PFE,2010-03-12,2010-05-21,8.234597,7.303131,2121.83343,49,-0.11435697834131453,-1999.4944757409849,stop_gap
ABT,2010-03-26,2010-05-06,17.766088,15.989479,1000.833063,28,-0.10125911861696801,-1801.7374085284355,stop
HRL,2010-04-23,2010-10-29,6.909794,7.946263,2569.68298,132,0.14839112621165174,2636.6743698490864,target
WMT,2010-04-30,2010-07-01,12.841171,11.557054,1374.402084,43,-0.10125911861696801,-1788.3662978306293,stop
CL,2010-05-07,2011-08-29,27.48993,31.613419,628.669609,331,0.14839112621165174,2566.302994881975,target
PG,2010-05-07,2011-05-13,37.920383,43.60844,455.746545,257,0.14839112621165196,2566.3029948819785,target
TLAB-201312,2010-06-18,2010-06-25,4.745088,4.270579,3639.371666,5,-0.10125911861696812,-1749.881836499484,stop
HSY,2010-08-06,2011-02-24,31.597385,36.336993,546.018337,139,0.14839112621165151,2561.947349796639,target
ROST,2010-08-06,2010-10-21,10.70982,12.316293,1610.928251,53,0.14839112621165151,2561.947349796639,target
HSH-201408,2010-09-17,2010-12-10,17.980186,20.677214,986.097911,59,0.14839112621165196,2632.8495914293308,target
JCI,2010-10-01,2011-01-04,12.116998,13.934548,1308.445818,65,0.14839112621165196,2354.3043789829608,target
