symbol,entry_date,exit_date,entry_px,exit_px,shares,bars_held,ret_net,pnl_usd,exit_reason
QMCO,1997-05-30,1997-06-04,2468.61745,2681.22957,8.888147,3,0.08460647631776408,1857.6868566632693,target
USRX-199706,1997-05-30,1997-06-02,75.125,87.5,292.065672,1,0.16309598256262214,3581.064669839594,target_gap
ADCT-201012,1997-06-03,1997-06-04,54.840019,56.099922,432.156038,1,0.021543003211665468,510.91461387170784,target
BMC-201309,1997-06-03,1997-06-04,25.239482,25.574119,938.98303,1,0.011840914329654728,280.81953630994394,target
BMET-200709,1997-06-03,1997-06-06,7.304831,7.611302,3244.352312,3,0.04049685478701437,960.4248174331733,price_action
ADSK,1997-06-04,1997-06-06,8.537013,8.796505,2679.239798,2,0.028954499891619356,662.7313349248361,target
MFE-201102,1997-06-04,1997-06-06,39.303246,40.274401,581.954612,2,0.023275692790886815,532.750730019332,target
NWACQ-200705,1997-06-09,1997-06-11,38.884084,36.47427,602.690478,2,-0.0632866152999616,-1484.1642664587598,target
CNTO-199910,1997-06-10,1997-06-12,33.265417,35.010907,703.742208,2,0.05099917164166756,1194.7405347965105,target
AMAT,1997-06-11,1997-06-13,5.207983,5.575319,4473.105403,2,0.0690355380532206,1609.3678973040405,target
KLAC,1997-06-11,1997-06-13,1.064857,1.184661,21876.990929,2,0.11095077917749863,2586.502940724251,target
XLNX-202202,1997-06-11,1997-06-12,7.811633,8.238446,2982.200861,1,0.05316265352348637,1239.3365841552259,target
ADBE,1997-06-19,1997-07-02,4.42499,4.274623,5412.361864,9,-0.035332676005472075,-846.7974085316418,target
MLKN,1997-06-23,1997-06-26,11.436788,11.55612,2090.356108,3,0.009020412379419751,215.80158747221503,target
FAST,1997-06-24,1997-06-25,0.889899,0.941032,27013.148486,1,0.055979306335930845,1346.6273189090862,target
BMC-201309,1997-06-26,1997-06-27,26.276635,26.856912,912.258805,1,0.0206534499450719,495.43231015197307,target
QMCO,1997-06-26,1997-06-30,2678.756705,2805.011703,8.948589,2,0.04566697983792878,1095.4536592646618,target
TCOMA-199903,1997-06-27,1997-07-02,15.489131,14.909314,1551.02235,3,-0.03878042284180261,-932.3125633390118,target
SBUX,1997-07-07,1997-07-09,1.650327,1.682695,14595.329475,2,0.018186714107597313,438.3712281118096,target
WCLX-200110,1997-07-07,1997-07-17,36.422072,34.018749,661.331567,8,-0.06729204474520467,-1622.0025301210117,target
CMCSK-201512,1997-07-08,1997-07-10,5.913813,5.814577,4074.954403,2,-0.018155979064576666,-437.8384666757811,target
IT,1997-07-10,1997-07-11,31.722005,32.845003,754.496086,1,0.033952669099652555,813.1963899428738,target
NXTL-200508,1997-07-10,1997-07-15,10.789786,11.098627,2218.220798,3,0.02718439129519723,651.0901631670276,target
BBBYQ-202309,1997-07-17,1997-07-25,7.084089,7.163161,3390.991092,6,0.009747219765146031,234.31242317812575,target
COMS-201004,1997-07-18,1997-07-21,9.759387,10.074944,2469.622742,1,0.030889443035070574,745.0186112674492,target
EFII-201907,1997-07-18,1997-07-21,51.460603,54.139732,468.358354,1,0.05058988262545916,1220.1710485686235,target
GNCI-199908,1997-07-18,1997-07-23,25.712357,26.513541,937.370437,3,0.02971685835549298,716.7371881100116,target
KLAC,1997-07-18,1997-07-22,1.439395,1.468074,16744.539956,2,0.018497658164028374,446.1427025867015,target
MCIC-199809,1997-07-18,1997-07-22,33.902432,34.026054,710.922546,2,0.002242274333699834,54.08113407150449,price_action
SXCL-201702,1997-07-18,1997-07-21,315.67766,326.551852,76.350045,1,0.0329999233125422,795.9210209886005,target
XLNX-202202,1997-07-18,1997-07-22,8.365112,8.495329,2881.253079,2,0.014145950669236296,341.18441406297643,target
MSFT,1997-07-21,1997-07-22,10.283949,10.565118,2347.897074,1,0.025903310652854117,625.8901660416595,target
MFE-201102,1997-07-23,1997-07-25,43.682453,43.136794,561.329747,2,-0.013873034378019788,-340.4085359318706,target
QCOM,1997-07-23,1997-07-28,1.740378,1.753258,14089.040574,3,0.005991217153990647,147.00903957040282,target
ADCT-201012,1997-07-28,1997-07-29,67.245715,69.109543,364.359891,1,0.0262788789201418,644.3263844416069,target
DELL-201310,1997-07-28,1997-07-29,9.337602,9.690632,2623.975809,1,0.03635547781366166,891.3924237601132,target
OHP-200407,1997-08-06,1997-08-14,78.67808,74.184599,314.236512,6,-0.05843136174885444,-1445.6405011267743,target
GNCI-199908,1997-08-07,1997-08-11,27.050468,27.315389,914.208332,2,0.00838087352501038,207.4020967870456,target
CMCSK-201512,1997-08-08,1997-08-11,6.535203,6.818605,3761.468601,1,0.041905667240517586,1030.8445970253488,target
FHCC-200501,1997-08-08,1997-08-13,14.092053,13.776774,1744.384738,3,-0.02374049673270362,-583.996494964369,target
MFE-201102,1997-08-08,1997-08-12,41.676205,43.667352,589.832058,2,0.046310720469778355,1139.205246551097,target
AAPL,1997-08-11,1997-08-13,0.183261,0.175293,134747.182969,2,-0.04481476604813672,-1107.42650311963,target
CNTO-199910,1997-08-11,1997-08-13,35.272884,36.086864,700.082005,2,0.02164534620955494,534.8824098716395,target
DELL-201310,1997-08-11,1997-08-12,9.193693,9.296918,2685.962041,1,0.009813100014962828,242.49344563487466,target
INTC,1997-08-11,1997-08-12,13.411682,13.858481,1841.22397,1,0.03186850666619567,787.5089397785014,target
KLAC,1997-08-11,1997-08-12,1.568134,1.645474,15747.319896,1,0.047851358868928884,1182.4643458993087,target
APCC-200702,1997-08-18,1997-08-19,11.528115,11.607656,2161.871071,1,0.005491010089650139,136.94439055585826,target
EDCI-202003,1997-08-18,1997-08-19,2.265461,2.429582,11000.982369,1,0.07094436872596477,1769.334453939482,price_action
MFE-201102,1997-08-18,1997-08-19,37.236725,38.652197,669.293538,1,0.03656059827944902,911.8119923279373,target
ALTR-201512,1997-08-22,1997-08-25,13.579047,14.29082,1856.102909,1,0.05094466588974611,1284.9136875877011,target
AMAT,1997-08-22,1997-09-02,9.026304,8.695752,2792.295644,6,-0.03796875695672808,-957.638541000033,target
ADBE,1997-08-27,1997-08-28,4.767416,4.817319,5305.081525,1,0.009053867822111039,229.14645768509217,target
TLAB-201312,1997-09-10,1997-09-11,18.252009,18.300462,1383.943543,1,0.0012519080286197415,31.645020440631924,target
ADCT-201012,1997-09-11,1997-09-12,61.202368,62.603114,411.329908,1,0.02145607749787848,540.5212161844356,target
CPWR-201412,1997-09-11,1997-09-12,13.145682,13.631127,1915.029107,1,0.035477385594759214,893.7458214633843,target
CSCO,1997-09-11,1997-09-16,5.015112,5.058877,5019.701748,3,0.007315387044398491,184.28913218127127,target
NSCP-199903,1997-09-11,1997-09-16,40.0773,39.74379,628.145215,3,-0.009709056348310097,-244.59041713988336,target
VKNG-199808,1997-09-11,1997-09-12,21.326934,22.593585,1180.402399,1,0.057909936783953286,1458.866349765991,target
DIGI-199809,1997-09-17,1997-09-18,28.81615,29.0,886.523642,1,0.004972158377280822,127.10865714872489,target_gap
GNCI-199908,1997-09-19,1997-09-22,27.822793,28.612092,918.632053,1,0.026930104319893733,688.7858999815799,target
SY-201007,1997-09-26,1997-09-29,17.989206,18.949242,1424.620271,1,0.05189363377077205,1330.8499696590588,target
HBOC-199901,1997-09-30,1997-10-02,18.388503,18.930555,1400.922771,2,0.02803751659405118,722.7764837676114,target
JAVA-201001,1997-10-01,1997-10-03,22.619262,23.375,1141.490952,2,0.031965476022809414,825.9162068869628,target_gap
KLAC,1997-10-01,1997-10-02,1.700553,1.754501,15183.106654,1,0.030280334916254148,782.375940200418,target
QMCO,1997-10-01,1997-10-02,4867.266725,5020.215589,5.30476,1,0.029980990830495324,774.641560406184,target
TLAB-201312,1997-10-01,1997-10-02,16.800179,17.774773,1536.869509,1,0.05653072893230027,1460.6272460639811,target_gap
OHP-200407,1997-10-02,1997-10-03,69.224177,72.378115,373.242654,1,0.04409846779689586,1140.1880014029084,target
SBUX,1997-10-02,1997-10-06,1.811004,1.738584,14266.905022,2,-0.0413315697667086,-1068.648465161994,target
EFII-201907,1997-10-07,1997-10-08,48.334478,52.375,542.566328,1,0.08207905223322642,2154.0020123744252,target_gap
MLKN,1997-10-07,1997-10-10,15.184507,15.321359,1727.066914,3,0.007600923107986768,199.4711589016042,target
CBRL,1997-10-10,1997-10-16,14.056423,15.492646,1876.009156,4,0.10063353913283057,2655.5619070365283,target
MCHP,1997-10-14,1997-10-15,3.558487,3.611815,7512.132401,1,0.013566055500267016,362.8992719083035,target
AMAT,1997-10-15,1997-10-21,8.880627,7.688757,3001.566145,4,-0.13542132173336463,-3612.2890192346567,target_gap
BBBYQ-202309,1997-10-15,1997-10-20,6.808108,6.721772,3915.300289,3,-0.014062722259422178,-375.1153551600728,target
SXCL-201702,1997-10-15,1997-10-16,375.893552,388.453654,70.913132,1,0.0319682205858296,852.7346411079416,target
ATML-201604,1997-10-16,1997-10-20,8.04585,7.701074,3326.855006,2,-0.044190447628717044,-1183.6903457694061,target
AAPL,1997-10-17,1997-10-24,0.150939,0.137106,176219.237304,5,-0.09291850268130486,-2473.204623783131,target
ADTN,1997-10-17,1997-10-20,12.807537,13.302888,2076.769615,1,0.03722333761449903,990.7707081395092,target
EDCI-202003,1997-10-17,1997-10-20,1.937223,1.996457,13730.122243,1,0.029135223600859073,775.490000863927,target
KLAC,1997-10-17,1997-10-21,1.535802,1.584062,17318.841566,2,0.02998062573478788,797.9920042997801,target_gap
LLTC-201703,1997-10-17,1997-10-20,11.73364,12.33286,2266.841658,1,0.04959809208504207,1320.148594045604,target
PCAR,1997-10-17,1997-10-21,2.349627,2.488336,11320.221992,2,0.05755249775566962,1531.8703966613612,target
SY-201007,1997-10-17,1997-10-20,18.870627,19.857499,1409.508248,1,0.050824563387942945,1352.7934861794784,target
CNTO-199910,1997-10-20,1997-10-22,48.179165,47.282408,544.526896,2,-0.019985931603122675,-524.694966091025,target
PSFT-200501,1997-10-20,1997-10-21,28.337883,30.422932,925.787241,1,0.07207617452860138,1892.2313305798816,price_action
DIGI-199809,1997-10-22,1997-10-28,27.537601,25.053616,977.612775,4,-0.09147619888675007,-2464.364665779998,target
QTRN-200309,1997-10-22,1997-10-24,38.305549,37.547888,702.799223,2,-0.02115075045963888,-569.8002619456674,target
FHCC-200501,1997-10-23,1997-10-24,14.502511,14.549578,1859.100336,1,0.0018418610770405408,49.694327406963566,target
WCOEQ-200404,1997-10-23,1997-10-28,21.334386,20.356412,1263.763748,3,-0.04717518001740861,-1272.8098066084713,target
AMAT,1997-10-24,1997-10-28,6.215686,5.938581,4292.538692,2,-0.045918161265396495,-1226.0033429640825,target
COMS-201004,1997-10-24,1997-10-28,8.190937,8.101764,3257.389439,2,-0.012270577665775217,-327.6213337766567,target
KLAC,1997-10-24,1997-10-28,1.430277,1.287871,18654.475513,2,-0.10082484687802229,-2691.998022565629,target
LLTC-201703,1997-10-24,1997-10-28,10.539829,10.081956,2531.452059,2,-0.044780353674077844,-1195.624166791411,target
MXIM-202108,1997-10-24,1997-10-28,9.378485,8.901367,2844.92326,2,-0.05220160463965573,-1393.7696987996896,target
PAIR-200006,1997-10-24,1997-10-28,25.350446,24.727897,1052.489252,2,-0.02592235321653613,-692.1203032778831,target
QMCO,1997-10-24,1997-10-28,4820.351298,4351.090149,5.535089,2,-0.0986128158555385,-2632.9373512850216,target
SY-201007,1997-10-24,1997-10-28,18.005923,16.595116,1481.794155,2,-0.07964177263599281,-2126.4152744917046,target
ADBE,1997-10-28,1997-10-29,5.42055,6.124101,4469.222049,1,0.1282127518448002,3108.210326056873,target
ADTN,1997-10-28,1997-11-03,10.636982,12.41048,2277.49202,4,0.16509717627061815,4002.3846357212315,target
